accession	d	p	c	o	f	g	s	species
GB_GCA_001873845.1	d__Archaea	p__Altarchaeota	c__Altarchaeia	o__Altarchaeales	f__Altarchaeaceae	g__Altarchaeum	s__Altarchaeum hamiconexum	Altarchaeum hamiconexum
GB_GCA_002841105.1	d__Archaea	p__Altarchaeota	c__Altarchaeia	o__Altarchaeales	f__Altarchaeaceae	g__Altarchaeum	s__Altarchaeum sp002841105	Altarchaeum sp002841105
GB_GCA_001742785.1	d__Archaea	p__Altarchaeota	c__Altarchaeia	o__IMC4	f__IMC4	g__IMC4	s__IMC4 sp001742785	IMC4 sp001742785
GB_GCA_001723835.1	d__Archaea	p__Altarchaeota	c__Altarchaeia	o__IMC4	f__WOR-SM1-SCG	g__WOR-SM1-SCG	s__WOR-SM1-SCG sp001723835	WOR-SM1-SCG sp001723835
GB_GCA_001723855.1	d__Archaea	p__Altarchaeota	c__Altarchaeia	o__IMC4	f__WOR-SM1-SCG	g__WOR-SM1-SCG	s__WOR-SM1-SCG sp001723855	WOR-SM1-SCG sp001723855
GB_GCA_001723845.1	d__Archaea	p__Altarchaeota	c__Altarchaeia	o__IMC4	f__WOR-SM1-SCG	g__WOR-SM1-SCG-A	s__WOR-SM1-SCG-A sp001723845	WOR-SM1-SCG-A sp001723845
GB_GCA_004524545.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__AMARA-1	g__AMARA-1	s__AMARA-1 sp004524545	AMARA-1 sp004524545
GB_GCA_001940655.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__CR-4	g__CR-4	s__CR-4 sp001940655	CR-4 sp001940655
GB_GCA_004524425.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__SDNM01	s__SDNM01 sp004524425	SDNM01 sp004524425
GB_GCA_004375715.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__SOKP01	s__SOKP01 sp004375715	SOKP01 sp004375715
GB_GCA_005222975.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__SOKP01	s__SOKP01 sp005222975	SOKP01 sp005222975
GB_GCA_005223125.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__SOKP01	s__SOKP01 sp005223125	SOKP01 sp005223125
GB_GCA_011364975.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__SOKP01	s__SOKP01 sp011364975	SOKP01 sp011364975
GB_GCA_013375475.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__SOKP01	s__SOKP01 sp013375475	SOKP01 sp013375475
GB_GCA_013375485.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__SOKP01	s__SOKP01 sp013375485	SOKP01 sp013375485
GB_GCA_013375495.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__SOKP01	s__SOKP01 sp013375495	SOKP01 sp013375495
GB_GCA_008080765.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__TEKIR-8	s__TEKIR-8 sp008080765	TEKIR-8 sp008080765
GB_GCA_005191415.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__Helarchaeales	f__HEL-GB-A	g__HEL-GB-A	s__HEL-GB-A sp005191415	HEL-GB-A sp005191415
GB_GCA_013375405.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__Helarchaeales	f__HEL-GB-A	g__HEL-GB-A	s__HEL-GB-A sp013375405	HEL-GB-A sp013375405
GB_GCA_005191425.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__Helarchaeales	f__HEL-GB-B	g__HEL-GB-B	s__HEL-GB-B sp005191425	HEL-GB-B sp005191425
GB_GCA_013375355.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__Helarchaeales	f__JABXJV01	g__JABXJV01	s__JABXJV01 sp013375355	JABXJV01 sp013375355
GB_GCA_011365055.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__Helarchaeales	f__RDOG01	g__RDOG01	s__RDOG01 sp011365055	RDOG01 sp011365055
GB_GCA_002825465.1	d__Archaea	p__Asgardarchaeota	c__Thorarchaeia	o__Thorarchaeales	f__Thorarchaeaceae	g__MP8T-1	s__MP8T-1 sp002825465	MP8T-1 sp002825465
GB_GCA_002825535.1	d__Archaea	p__Asgardarchaeota	c__Thorarchaeia	o__Thorarchaeales	f__Thorarchaeaceae	g__MP8T-1	s__MP8T-1 sp002825535	MP8T-1 sp002825535
