genome,A_V,B_V,c_V,V_with_c,V_two_cats,V_one_cat
GB_GCA_000007325.1,2.0,1.0,1.0,1.0,1.0,2.0
GB_GCA_000008085.1,2.0,1.0,1.0,1.0,1.0,2.0
GB_GCA_000015805.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000145985.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_000146855.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_000168735.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000174895.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000182945.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000200715.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000204585.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000210015.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000210075.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000210715.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000218705.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000218745.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000220355.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000220375.1,1.0,1.0,2.0,1.0,1.0,1.0
GB_GCA_000235685.2,3.0,3.0,3.0,3.0,3.0,3.0
GB_GCA_000246735.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000247545.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000252485.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000270325.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_000285855.2,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000306725.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000308255.3,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_000309865.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000353875.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000375685.1,1.0,0.0,1.0,0.0,0.0,1.0
GB_GCA_000380705.1,2.0,2.0,1.0,1.0,2.0,2.0
GB_GCA_000389735.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000402075.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000402355.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000402775.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000402835.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_000403035.1,1.0,1.0,2.0,1.0,1.0,1.0
GB_GCA_000405345.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000405605.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_000405685.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_000413015.1,2.0,2.0,1.0,1.0,2.0,2.0
GB_GCA_000415965.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000415985.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000416005.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_000416085.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000416275.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000431015.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000431075.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000431235.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000431575.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000431775.1,3.0,3.0,2.0,2.0,3.0,3.0
GB_GCA_000432015.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000432135.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000432175.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_000432335.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000432375.1,1.0,1.0,2.0,1.0,1.0,1.0
GB_GCA_000432435.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_000432515.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000432655.1,1.0,0.0,1.0,0.0,0.0,1.0
GB_GCA_000432735.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000432775.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000432895.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000432995.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000433115.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000433355.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000433415.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000433535.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_000433775.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000434055.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000434235.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000434335.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000434435.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000434675.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000434735.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000434915.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000434935.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000435075.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000435195.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000435275.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_000435335.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000435395.1,2.0,1.0,1.0,1.0,1.0,2.0
GB_GCA_000435495.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000435555.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000435615.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000435655.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000435715.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000435835.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000435975.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_000436495.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000436795.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000436875.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000437015.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000437375.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000437515.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000437555.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000437595.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000437755.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000493945.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000494145.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_000494185.1,0.0,1.0,0.0,0.0,0.0,1.0
GB_GCA_000495735.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000496135.1,2.0,2.0,1.0,1.0,2.0,2.0
GB_GCA_000496175.1,1.0,0.0,1.0,0.0,0.0,1.0
GB_GCA_000496195.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000496215.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000496235.1,2.0,2.0,1.0,1.0,2.0,2.0
GB_GCA_000508305.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000565255.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000613065.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000634115.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000634195.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000634215.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000634415.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000634515.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000634735.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000635015.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000635495.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000635535.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000690595.2,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000702025.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_000708525.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000720375.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000737945.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000739515.1,3.0,3.0,3.0,3.0,3.0,3.0
GB_GCA_000739535.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_000746685.1,0.0,1.0,1.0,0.0,0.0,1.0
GB_GCA_000746765.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000756735.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000785145.2,1.0,0.0,1.0,0.0,0.0,1.0
GB_GCA_000786575.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000802205.2,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000808095.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_000830275.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000830295.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000954095.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_000960885.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000961725.1,0.0,1.0,1.0,0.0,0.0,1.0
GB_GCA_000965745.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000980735.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_000990145.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_000992445.2,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001007665.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_001044195.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001045525.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001058355.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001189275.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001273335.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001273385.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001276605.1,1.0,0.0,1.0,0.0,0.0,1.0
GB_GCA_001303225.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001303245.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_001303415.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001303465.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001303665.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001303705.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001303765.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001303785.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001303885.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001304015.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001304105.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001304855.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_001304875.1,2.0,1.0,2.0,1.0,1.0,2.0
GB_GCA_001304935.1,3.0,3.0,2.0,2.0,3.0,3.0
GB_GCA_001311545.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001311585.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001312405.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001312445.1,1.0,1.0,2.0,1.0,1.0,1.0
GB_GCA_001314865.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_001315965.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001315985.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001316005.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_001316025.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_001316125.1,1.0,1.0,1.0,1.0,1.0,1.0
